epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,457.465,0.62319,0.84392,0.01153,0.74223,0.70508,0.76072,0.62773,0.64336,1.08161,0.0178,0.00024774,0.00024774,0.00024774
43,468.11,0.62402,0.88606,0.01143,0.75033,0.69668,0.75097,0.62903,0.64583,1.06511,0.01798,0.000243611,0.000243611,0.000243611
44,478.742,0.63029,0.87858,0.01174,0.75996,0.66036,0.74013,0.61635,0.64635,1.06769,0.01825,0.000239483,0.000239483,0.000239483
45,489.451,0.60904,0.85469,0.01151,0.70719,0.71422,0.75228,0.63208,0.6436,1.02786,0.01779,0.000235355,0.000235355,0.000235355
46,500.111,0.62197,0.82835,0.01153,0.73721,0.68197,0.75011,0.637,0.62408,1.02088,0.01721,0.000231226,0.000231226,0.000231226
47,510.722,0.60248,0.82133,0.01142,0.75942,0.70093,0.75109,0.6262,0.65475,1.04609,0.01849,0.000227098,0.000227098,0.000227098
48,521.363,0.62039,0.82792,0.01135,0.7685,0.63862,0.74957,0.63019,0.64289,1.04745,0.01824,0.00022297,0.00022297,0.00022297
49,532.022,0.60004,0.77784,0.01113,0.72252,0.67871,0.73455,0.62814,0.63379,1.07318,0.01758,0.000218842,0.000218842,0.000218842
50,542.675,0.59573,0.79082,0.01146,0.71215,0.67763,0.71563,0.61271,0.63521,1.16589,0.01792,0.000214713,0.000214713,0.000214713
51,553.301,0.59319,0.75849,0.01084,0.75883,0.68617,0.74241,0.63162,0.62847,1.10603,0.01763,0.000210585,0.000210585,0.000210585
52,563.908,0.57346,0.7609,0.01089,0.71373,0.71876,0.75014,0.63937,0.62225,1.02229,0.01709,0.000206457,0.000206457,0.000206457
53,574.538,0.59927,0.77174,0.01115,0.77174,0.67611,0.74844,0.64217,0.62506,1.03994,0.01729,0.000202328,0.000202328,0.000202328
54,585.186,0.57973,0.72752,0.01078,0.70882,0.73223,0.75069,0.64201,0.62321,1.0682,0.01719,0.0001982,0.0001982,0.0001982
55,595.769,0.58121,0.75964,0.01055,0.70868,0.71244,0.7511,0.63644,0.60805,1.0395,0.01696,0.000194072,0.000194072,0.000194072
56,606.358,0.56466,0.74927,0.01071,0.70391,0.72413,0.75287,0.63509,0.64898,1.07093,0.0185,0.000189943,0.000189943,0.000189943
57,616.956,0.57493,0.73143,0.01062,0.73268,0.69135,0.75416,0.63726,0.63211,1.03051,0.0175,0.000185815,0.000185815,0.000185815
58,627.577,0.57833,0.74972,0.01084,0.72979,0.67756,0.74592,0.6295,0.61758,1.02189,0.01685,0.000181687,0.000181687,0.000181687
59,638.172,0.58776,0.74975,0.01077,0.77297,0.6865,0.75864,0.64261,0.62682,0.97878,0.01751,0.000177559,0.000177559,0.000177559
60,648.804,0.57284,0.72182,0.01041,0.77944,0.66351,0.75759,0.64195,0.62093,1.01421,0.01725,0.00017343,0.00017343,0.00017343
61,659.415,0.5667,0.72802,0.01065,0.78335,0.66569,0.75219,0.63565,0.61177,1.04578,0.01703,0.000169302,0.000169302,0.000169302
62,670.028,0.56685,0.69283,0.0105,0.71837,0.71636,0.76701,0.65368,0.61193,0.97011,0.017,0.000165174,0.000165174,0.000165174
63,680.66,0.57278,0.69289,0.01055,0.72919,0.74231,0.76409,0.64556,0.61117,0.99708,0.01678,0.000161045,0.000161045,0.000161045
