epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3996,0.63352,6.49965,0.01164,0.02014,0.07795,0.0206,0.01894,0.44886,3.6462,0.01149,0.000136377,0.000136377,0.000136377
2,31.2088,0.64185,5.8572,0.0121,0.66318,0.07405,0.14348,0.12568,0.59186,2.98254,0.01659,0.000272651,0.000272651,0.000272651
3,39.3756,0.67557,5.10915,0.01265,0.37486,0.36977,0.3309,0.27815,0.67443,1.98225,0.01869,0.000406173,0.000406173,0.000406173
4,47.5236,0.7364,4.42043,0.01382,0.41466,0.38804,0.37933,0.3203,0.66131,1.84689,0.01818,0.000404615,0.000404615,0.000404615
5,55.7408,0.73511,3.91767,0.01397,0.49661,0.46553,0.47161,0.39567,0.69793,1.64331,0.01995,0.000400487,0.000400487,0.000400487
6,63.8988,0.71912,3.47501,0.01336,0.49087,0.51788,0.5097,0.4261,0.67578,1.52014,0.01887,0.000396358,0.000396358,0.000396358
7,72.0849,0.72199,3.09443,0.01329,0.50712,0.50304,0.50677,0.41774,0.70457,1.59215,0.01989,0.00039223,0.00039223,0.00039223
8,80.266,0.73343,2.80447,0.01382,0.5088,0.51037,0.53876,0.45036,0.668,1.50918,0.01818,0.000388102,0.000388102,0.000388102
9,88.4137,0.71619,2.56626,0.01341,0.64671,0.54994,0.60966,0.51292,0.67903,1.38193,0.01932,0.000383974,0.000383974,0.000383974
10,96.6332,0.7066,2.34377,0.0131,0.59812,0.59453,0.61635,0.51283,0.67305,1.31065,0.01892,0.000379845,0.000379845,0.000379845
11,104.791,0.72759,2.16817,0.01345,0.61156,0.58829,0.61011,0.49851,0.69709,1.39431,0.01947,0.000375717,0.000375717,0.000375717
12,112.938,0.70968,2.04443,0.01352,0.62865,0.62514,0.65848,0.54119,0.70216,1.18817,0.01977,0.000371589,0.000371589,0.000371589
13,121.276,0.7147,1.9138,0.01361,0.70498,0.58267,0.67627,0.55899,0.71222,1.17242,0.01989,0.00036746,0.00036746,0.00036746
14,129.455,0.7031,1.79635,0.01322,0.69917,0.62958,0.68979,0.56634,0.71254,1.15923,0.02016,0.000363332,0.000363332,0.000363332
15,137.558,0.71787,1.68891,0.01331,0.71358,0.66856,0.7322,0.60896,0.66883,1.01853,0.01859,0.000359204,0.000359204,0.000359204
16,145.722,0.70498,1.63114,0.01341,0.67572,0.64472,0.70811,0.57418,0.72534,1.07633,0.02094,0.000355076,0.000355076,0.000355076
17,153.8,0.70304,1.51564,0.01313,0.64063,0.6317,0.67998,0.57314,0.64715,1.16257,0.01752,0.000350947,0.000350947,0.000350947
