epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0067,0.64087,6.49552,0.01189,0,0,0,0,0.40974,3.71443,0.00977,0.000135029,0.000135029,0.000135029
2,30.583,0.59945,5.99936,0.01083,0.03448,0.61535,0.11802,0.10322,0.50675,3.34727,0.01281,0.000271316,0.000271316,0.000271316
3,38.6873,0.70458,5.13678,0.01308,0.67442,0.14363,0.30636,0.25723,0.66187,2.38088,0.01768,0.000404851,0.000404851,0.000404851
4,46.7089,0.74465,4.37855,0.01421,0.37202,0.37637,0.36248,0.29622,0.77244,2.15271,0.02244,0.000404615,0.000404615,0.000404615
5,54.7406,0.78055,3.82977,0.01444,0.43496,0.39616,0.42328,0.34096,0.75774,1.91564,0.02145,0.000400487,0.000400487,0.000400487
6,62.8412,0.7473,3.42492,0.01419,0.50831,0.45673,0.49092,0.40402,0.73702,1.62848,0.0208,0.000396358,0.000396358,0.000396358
7,70.8943,0.75866,3.033,0.01453,0.50197,0.52962,0.53821,0.43543,0.73826,1.55626,0.02051,0.00039223,0.00039223,0.00039223
8,78.9592,0.74374,2.66413,0.01401,0.60147,0.56832,0.59154,0.48551,0.71057,1.40913,0.0196,0.000388102,0.000388102,0.000388102
9,87.039,0.74009,2.38745,0.01413,0.61707,0.5899,0.61653,0.50782,0.70913,1.33363,0.01959,0.000383974,0.000383974,0.000383974
10,95.0373,0.73909,2.16718,0.01382,0.58814,0.56987,0.59558,0.48486,0.72849,1.42604,0.01974,0.000379845,0.000379845,0.000379845
11,103.063,0.74745,2.03047,0.01403,0.58775,0.61084,0.62846,0.51174,0.70149,1.36754,0.01909,0.000375717,0.000375717,0.000375717
12,111.15,0.74215,1.88169,0.01428,0.63318,0.61776,0.66236,0.52808,0.76543,1.27543,0.02104,0.000371589,0.000371589,0.000371589
