epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.42026,0.60233,6.98113,0.01192,0,0,0,0,0.46296,3.68896,0.01212,9.591e-05,9.591e-05,9.591e-05
2,10.2819,0.56937,6.63129,0.01141,0.22531,0.25088,0.15153,0.139,0.42974,3.58132,0.01082,0.00019405,0.00019405,0.00019405
3,13.1727,0.57061,6.22024,0.01124,0.02997,0.80384,0.33267,0.28854,0.52551,3.12319,0.01353,0.000290208,0.000290208,0.000290208
4,15.8587,0.58558,5.5099,0.01173,0.78047,0.21958,0.41889,0.36333,0.58191,2.29068,0.01587,0.000384384,0.000384384,0.000384384
5,18.8077,0.61081,4.96138,0.01217,0.54615,0.52215,0.44926,0.37707,0.63409,1.73519,0.01735,0.000400487,0.000400487,0.000400487
6,21.9461,0.62416,4.56786,0.01253,0.39821,0.67644,0.49387,0.40791,0.64342,1.49227,0.01801,0.000396358,0.000396358,0.000396358
7,25.0356,0.58995,4.26827,0.01194,0.51895,0.58351,0.56533,0.45975,0.71103,1.30974,0.01997,0.00039223,0.00039223,0.00039223
8,28.1693,0.63457,4.1441,0.01315,0.67661,0.54958,0.6693,0.52005,0.67448,1.29049,0.0186,0.000388102,0.000388102,0.000388102
9,31.2576,0.60637,3.98695,0.01249,0.7133,0.62745,0.739,0.55443,0.74171,1.06212,0.02107,0.000383974,0.000383974,0.000383974
10,34.4596,0.62437,3.8644,0.01264,0.69329,0.77667,0.72571,0.56095,0.70922,1.05108,0.01994,0.000379845,0.000379845,0.000379845
11,37.7349,0.64066,3.68972,0.01284,0.66087,0.75836,0.75485,0.59414,0.75202,1.01854,0.02232,0.000375717,0.000375717,0.000375717
12,40.967,0.60366,3.43655,0.01225,0.68717,0.72799,0.77358,0.59796,0.75086,0.93571,0.02005,0.000371589,0.000371589,0.000371589
13,44.2015,0.61994,3.32233,0.01242,0.61328,0.69018,0.73994,0.5963,0.6986,1.04407,0.0199,0.00036746,0.00036746,0.00036746
14,47.3003,0.61533,3.35705,0.0126,0.63014,0.76749,0.748,0.59587,0.68204,0.97655,0.01905,0.000363332,0.000363332,0.000363332
15,50.3781,0.61141,3.10845,0.01237,0.70408,0.72714,0.73893,0.58893,0.63492,1.02591,0.01696,0.000359204,0.000359204,0.000359204
16,53.4253,0.5914,2.97052,0.01253,0.71786,0.7525,0.80419,0.62805,0.65598,0.91322,0.01773,0.000355076,0.000355076,0.000355076
17,56.5446,0.58222,2.90392,0.01221,0.66586,0.77754,0.80255,0.62881,0.63373,1.01076,0.01654,0.000350947,0.000350947,0.000350947
18,59.7235,0.57993,2.78957,0.01146,0.72891,0.72837,0.78284,0.64524,0.64297,0.88839,0.01684,0.000346819,0.000346819,0.000346819
19,62.8153,0.58709,2.79461,0.01205,0.73521,0.75582,0.79309,0.64105,0.66964,0.92409,0.01806,0.000342691,0.000342691,0.000342691
20,65.9658,0.58396,2.63576,0.01171,0.77286,0.7582,0.80216,0.65467,0.6515,0.89749,0.01723,0.000338562,0.000338562,0.000338562
21,69.0676,0.56627,2.5489,0.01137,0.69144,0.76769,0.80807,0.65424,0.69929,0.84187,0.01895,0.000334434,0.000334434,0.000334434
22,72.1878,0.53766,2.37893,0.01037,0.78588,0.73406,0.82352,0.67541,0.6597,0.83979,0.01714,0.000330306,0.000330306,0.000330306
23,75.4317,0.54064,2.35952,0.01052,0.77411,0.79783,0.837,0.6686,0.65044,0.76725,0.01704,0.000326177,0.000326177,0.000326177
