epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1686,0.68803,11.0983,0.01362,0.16963,0.20544,0.08743,0.07486,0.61968,4.66862,0.01641,0.000136377,0.000136377,0.000136377
2,40.002,0.74706,4.71146,0.0146,0.31599,0.3944,0.33135,0.26694,0.76677,2.14495,0.02151,0.000272651,0.000272651,0.000272651
3,52.9846,0.81241,3.00663,0.01629,0.41843,0.4281,0.41928,0.32015,0.87305,1.86401,0.0256,0.000406173,0.000406173,0.000406173
4,65.7746,0.8359,2.26118,0.01711,0.51228,0.48578,0.47887,0.34929,0.91324,1.84746,0.02692,0.000404615,0.000404615,0.000404615
5,78.6376,0.84139,1.93846,0.01672,0.58299,0.58081,0.62299,0.46618,0.86371,1.3681,0.02492,0.000400487,0.000400487,0.000400487
6,91.4328,0.8317,1.65712,0.01671,0.61252,0.5867,0.60626,0.46468,0.85536,1.40452,0.02496,0.000396358,0.000396358,0.000396358
7,104.121,0.8037,1.54668,0.01626,0.65823,0.5639,0.63207,0.48105,0.85579,1.3914,0.02406,0.00039223,0.00039223,0.00039223
8,116.979,0.79907,1.41276,0.0159,0.65358,0.56163,0.59656,0.45835,0.82969,1.50389,0.02365,0.000388102,0.000388102,0.000388102
9,129.858,0.80332,1.34099,0.01606,0.71726,0.60035,0.68669,0.53448,0.80162,1.26219,0.02251,0.000383974,0.000383974,0.000383974
10,142.811,0.79645,1.27913,0.01588,0.62183,0.63209,0.64332,0.50587,0.84548,1.38045,0.02496,0.000379845,0.000379845,0.000379845
11,155.874,0.75116,1.18608,0.01493,0.69712,0.67461,0.73103,0.58391,0.76052,1.10414,0.02101,0.000375717,0.000375717,0.000375717
12,168.895,0.76558,1.16414,0.01542,0.65371,0.65433,0.68958,0.53522,0.88359,1.17731,0.0266,0.000371589,0.000371589,0.000371589
13,181.51,0.76457,1.12111,0.01547,0.70697,0.71329,0.75419,0.59132,0.84509,1.03522,0.02419,0.00036746,0.00036746,0.00036746
