epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5416,0.64381,6.59446,0.01194,0.05,0.00143,0.00125,0.00125,0.44874,3.6974,0.01101,0.000135029,0.000135029,0.000135029
2,29.7483,0.60283,5.95885,0.01095,0.01566,0.77067,0.13977,0.11444,0.56463,3.22849,0.01438,0.000271316,0.000271316,0.000271316
3,37.8622,0.69023,5.26888,0.01311,0.70855,0.13296,0.25963,0.20701,0.76569,2.50255,0.02183,0.000404851,0.000404851,0.000404851
4,45.9294,0.74012,4.50491,0.01427,0.33873,0.3005,0.30939,0.25359,0.72448,2.25875,0.01954,0.000404615,0.000404615,0.000404615
5,54.0489,0.76094,3.90394,0.0147,0.45691,0.43294,0.46053,0.36932,0.723,1.82352,0.01935,0.000400487,0.000400487,0.000400487
6,62.0974,0.75023,3.4718,0.01446,0.49635,0.48931,0.5154,0.40944,0.78064,1.64739,0.02126,0.000396358,0.000396358,0.000396358
7,70.1825,0.73276,3.03112,0.01407,0.52425,0.53124,0.55379,0.44851,0.72952,1.51107,0.01962,0.00039223,0.00039223,0.00039223
8,78.2766,0.72299,2.7485,0.01397,0.58519,0.55411,0.60966,0.49581,0.74572,1.38983,0.02073,0.000388102,0.000388102,0.000388102
9,86.311,0.72752,2.48791,0.01386,0.54437,0.53659,0.56737,0.46299,0.75239,1.5158,0.02104,0.000383974,0.000383974,0.000383974
10,94.32,0.73103,2.19484,0.01379,0.60066,0.5766,0.61817,0.50177,0.74607,1.38261,0.02012,0.000379845,0.000379845,0.000379845
11,102.342,0.74036,2.07492,0.01417,0.63043,0.56347,0.61794,0.49658,0.75449,1.45311,0.02106,0.000375717,0.000375717,0.000375717
12,110.416,0.73463,1.94215,0.01419,0.61441,0.60336,0.62879,0.50192,0.79822,1.35858,0.02283,0.000371589,0.000371589,0.000371589
13,118.587,0.71052,1.77214,0.01377,0.65501,0.62416,0.65934,0.54068,0.7169,1.27565,0.01896,0.00036746,0.00036746,0.00036746
14,126.646,0.72225,1.7018,0.01355,0.6051,0.58486,0.6099,0.49838,0.71936,1.42302,0.01928,0.000363332,0.000363332,0.000363332
15,134.778,0.71551,1.5836,0.0136,0.69339,0.66496,0.71159,0.58429,0.71156,1.18987,0.01888,0.000359204,0.000359204,0.000359204
16,142.856,0.71094,1.50007,0.01369,0.70064,0.60582,0.67505,0.54256,0.77101,1.24761,0.02106,0.000355076,0.000355076,0.000355076
17,150.935,0.70074,1.4094,0.01364,0.73129,0.62631,0.68577,0.56159,0.73073,1.17293,0.01984,0.000350947,0.000350947,0.000350947
18,159.095,0.70835,1.32007,0.01299,0.68107,0.71723,0.72901,0.59397,0.70876,1.10664,0.01863,0.000346819,0.000346819,0.000346819
19,167.24,0.67967,1.28126,0.01294,0.73568,0.63757,0.70426,0.58361,0.70902,1.23063,0.01901,0.000342691,0.000342691,0.000342691
20,175.41,0.68117,1.23806,0.0128,0.6669,0.6357,0.69268,0.57397,0.7119,1.22103,0.01887,0.000338562,0.000338562,0.000338562
21,183.539,0.67344,1.1666,0.01267,0.73551,0.62967,0.73136,0.60737,0.70182,1.13045,0.01856,0.000334434,0.000334434,0.000334434
22,191.608,0.68846,1.10335,0.01293,0.74289,0.64535,0.72323,0.60632,0.69368,1.14317,0.01876,0.000330306,0.000330306,0.000330306
23,199.751,0.68074,1.10785,0.01262,0.69207,0.66243,0.71201,0.57627,0.77413,1.18349,0.02202,0.000326177,0.000326177,0.000326177
24,207.814,0.67543,1.08732,0.0126,0.71547,0.70945,0.75552,0.62304,0.71579,0.98853,0.01916,0.000322049,0.000322049,0.000322049
25,215.868,0.67568,1.01304,0.01272,0.74419,0.70991,0.76686,0.64229,0.68243,0.98174,0.01848,0.000317921,0.000317921,0.000317921
26,223.891,0.66552,0.98417,0.01255,0.69868,0.69864,0.74251,0.62005,0.68516,1.02728,0.01779,0.000313792,0.000313792,0.000313792
27,231.863,0.673,0.95635,0.01255,0.8016,0.66324,0.74804,0.61653,0.72489,1.09331,0.01938,0.000309664,0.000309664,0.000309664
28,239.899,0.65499,0.93209,0.01229,0.78488,0.70227,0.76261,0.63223,0.71337,1.02014,0.0193,0.000305536,0.000305536,0.000305536
29,247.904,0.66148,0.90427,0.01232,0.66576,0.71197,0.73476,0.5998,0.7401,1.10082,0.02012,0.000301408,0.000301408,0.000301408
30,255.941,0.65449,0.88933,0.01218,0.75862,0.7145,0.76678,0.63419,0.71959,1.01031,0.01861,0.000297279,0.000297279,0.000297279
31,263.949,0.6674,0.90338,0.0124,0.76874,0.74064,0.78745,0.65786,0.70226,0.94577,0.01803,0.000293151,0.000293151,0.000293151
32,271.965,0.65101,0.85647,0.01199,0.78691,0.7046,0.77942,0.65257,0.67773,0.96993,0.01806,0.000289023,0.000289023,0.000289023
33,279.939,0.65652,0.85029,0.01271,0.7574,0.72484,0.76024,0.63197,0.69833,1.04372,0.01805,0.000284894,0.000284894,0.000284894
34,287.972,0.63061,0.84726,0.01208,0.77148,0.71273,0.78138,0.65491,0.67418,0.94104,0.01774,0.000280766,0.000280766,0.000280766
35,295.987,0.62718,0.82057,0.01179,0.77643,0.70956,0.7791,0.65679,0.65946,0.99032,0.01738,0.000276638,0.000276638,0.000276638
36,304.009,0.62369,0.81875,0.01172,0.77983,0.67662,0.7532,0.6205,0.70992,1.04134,0.01904,0.000272509,0.000272509,0.000272509
37,312.016,0.64114,0.79426,0.01194,0.74776,0.72413,0.76925,0.63655,0.69658,1.03845,0.0185,0.000268381,0.000268381,0.000268381
38,320.054,0.63618,0.78619,0.01185,0.7979,0.69824,0.7875,0.66361,0.6638,0.971,0.01718,0.000264253,0.000264253,0.000264253
39,328.182,0.62685,0.71992,0.01166,0.82272,0.74044,0.80285,0.67215,0.69366,0.91878,0.01835,0.000260125,0.000260125,0.000260125
40,336.185,0.62902,0.756,0.01172,0.78884,0.72465,0.80198,0.67256,0.69711,0.9428,0.01856,0.000255996,0.000255996,0.000255996
41,344.249,0.62005,0.71918,0.0119,0.7578,0.66957,0.75422,0.62774,0.70769,1.06742,0.01881,0.000251868,0.000251868,0.000251868
42,352.281,0.63195,0.73431,0.01151,0.85194,0.66968,0.787,0.66609,0.68044,1.01432,0.01746,0.00024774,0.00024774,0.00024774
43,360.333,0.61281,0.74456,0.01141,0.7621,0.75841,0.8027,0.67649,0.67514,0.85808,0.01727,0.000243611,0.000243611,0.000243611
44,368.374,0.6112,0.69836,0.01146,0.77028,0.77211,0.80321,0.67259,0.67946,0.88514,0.01755,0.000239483,0.000239483,0.000239483
45,376.396,0.60382,0.69286,0.01128,0.76102,0.76637,0.79403,0.66269,0.70987,0.90171,0.01879,0.000235355,0.000235355,0.000235355
46,384.401,0.59413,0.68837,0.01099,0.82182,0.72835,0.8028,0.67154,0.67448,0.88045,0.01772,0.000231226,0.000231226,0.000231226
47,392.372,0.6093,0.68992,0.01137,0.82454,0.72552,0.80241,0.67126,0.66666,0.89057,0.01731,0.000227098,0.000227098,0.000227098
48,400.349,0.59166,0.67574,0.01086,0.84069,0.71635,0.80428,0.67867,0.67152,0.90262,0.01745,0.00022297,0.00022297,0.00022297
49,408.521,0.58546,0.65453,0.01067,0.80115,0.7615,0.81455,0.68045,0.68169,0.88789,0.01785,0.000218842,0.000218842,0.000218842
50,416.501,0.58589,0.67171,0.01099,0.8107,0.748,0.80249,0.67142,0.65851,0.95644,0.01694,0.000214713,0.000214713,0.000214713
51,424.48,0.57811,0.64467,0.01073,0.8369,0.74243,0.8076,0.67667,0.66602,0.91549,0.01724,0.000210585,0.000210585,0.000210585
52,432.407,0.57249,0.60895,0.01076,0.814,0.71743,0.78429,0.65817,0.6731,1.01149,0.01761,0.000206457,0.000206457,0.000206457
53,440.331,0.56702,0.62365,0.0105,0.81184,0.73051,0.80088,0.6714,0.67712,0.93562,0.01765,0.000202328,0.000202328,0.000202328
54,448.267,0.56718,0.64662,0.01049,0.79731,0.7408,0.81125,0.69013,0.64439,0.90151,0.01656,0.0001982,0.0001982,0.0001982
55,456.248,0.55227,0.60732,0.01004,0.80123,0.75765,0.81121,0.68414,0.66048,0.8905,0.01702,0.000194072,0.000194072,0.000194072
56,464.213,0.57159,0.60247,0.01052,0.75529,0.77182,0.79871,0.6753,0.65585,0.93738,0.01673,0.000189943,0.000189943,0.000189943
57,472.129,0.55756,0.61029,0.01037,0.85361,0.73467,0.82155,0.70256,0.64862,0.85043,0.0166,0.000185815,0.000185815,0.000185815
58,480.075,0.554,0.61628,0.01028,0.84476,0.74117,0.8107,0.69084,0.64495,0.88934,0.01653,0.000181687,0.000181687,0.000181687
59,488.039,0.56775,0.60949,0.01056,0.77809,0.76302,0.80427,0.67857,0.66929,0.88714,0.01703,0.000177559,0.000177559,0.000177559
60,496.003,0.54765,0.59928,0.01023,0.82533,0.75597,0.81414,0.69263,0.66672,0.8689,0.01706,0.00017343,0.00017343,0.00017343
61,503.948,0.5505,0.56357,0.01009,0.80795,0.75479,0.82043,0.69101,0.66317,0.87868,0.01726,0.000169302,0.000169302,0.000169302
62,511.917,0.54492,0.57194,0.01004,0.81607,0.75048,0.80918,0.68537,0.66024,0.93757,0.01705,0.000165174,0.000165174,0.000165174
63,519.89,0.52214,0.55343,0.0095,0.84447,0.73723,0.81062,0.68731,0.63836,0.95745,0.01645,0.000161045,0.000161045,0.000161045
64,527.88,0.54305,0.56175,0.00994,0.84526,0.74816,0.81462,0.68572,0.64486,0.91719,0.01651,0.000156917,0.000156917,0.000156917
