epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,499.254,0.53394,0.5477,0.00974,0.78182,0.73288,0.78724,0.66578,0.64869,0.96509,0.01758,0.00024774,0.00024774,0.00024774
43,510.745,0.55206,0.54423,0.00984,0.82457,0.73259,0.79915,0.67506,0.65291,0.90577,0.0176,0.000243611,0.000243611,0.000243611
44,522.268,0.55081,0.54025,0.01007,0.74311,0.77258,0.7798,0.65792,0.66561,0.96271,0.01814,0.000239483,0.000239483,0.000239483
45,533.706,0.53881,0.52478,0.00992,0.80486,0.71288,0.78384,0.661,0.66857,0.97948,0.01797,0.000235355,0.000235355,0.000235355
46,544.99,0.52887,0.5359,0.00975,0.82476,0.74803,0.80976,0.68148,0.66069,0.87476,0.0178,0.000231226,0.000231226,0.000231226
47,556.371,0.53411,0.51749,0.00973,0.83109,0.71265,0.79873,0.66477,0.65666,0.9298,0.01765,0.000227098,0.000227098,0.000227098
48,567.867,0.52798,0.50793,0.0092,0.83239,0.73027,0.79842,0.66565,0.68163,0.95629,0.01857,0.00022297,0.00022297,0.00022297
49,579.506,0.51505,0.49244,0.00941,0.78898,0.76087,0.79973,0.67176,0.64943,0.91969,0.01748,0.000218842,0.000218842,0.000218842
50,591.149,0.51994,0.50187,0.00944,0.83378,0.71659,0.80213,0.67956,0.63616,0.91356,0.01715,0.000214713,0.000214713,0.000214713
51,602.557,0.50825,0.49093,0.00924,0.81567,0.73858,0.80077,0.67453,0.66017,0.94293,0.0179,0.000210585,0.000210585,0.000210585
52,614.126,0.50597,0.51701,0.00904,0.8231,0.72652,0.78567,0.66597,0.64919,0.95024,0.01736,0.000206457,0.000206457,0.000206457
53,625.542,0.52038,0.50277,0.00939,0.81525,0.73358,0.79155,0.66618,0.64963,0.95239,0.01748,0.000202328,0.000202328,0.000202328
54,637.046,0.53259,0.51682,0.00926,0.80941,0.74702,0.80208,0.67561,0.64925,0.88675,0.01758,0.0001982,0.0001982,0.0001982
55,648.501,0.50684,0.46612,0.00912,0.82466,0.71854,0.80185,0.67475,0.63973,0.94157,0.01732,0.000194072,0.000194072,0.000194072
56,660.013,0.50295,0.49015,0.00891,0.78464,0.73965,0.78627,0.66914,0.62846,0.99555,0.01674,0.000189943,0.000189943,0.000189943
57,671.464,0.49144,0.45244,0.00877,0.80063,0.74724,0.79065,0.66907,0.64284,0.94448,0.0174,0.000185815,0.000185815,0.000185815
58,683.147,0.50935,0.48902,0.00918,0.79195,0.74741,0.79213,0.67273,0.63878,0.93422,0.01723,0.000181687,0.000181687,0.000181687
59,694.836,0.50697,0.46809,0.00934,0.83115,0.72518,0.79131,0.67292,0.62961,0.92794,0.01685,0.000177559,0.000177559,0.000177559
60,706.455,0.49339,0.47131,0.00895,0.80701,0.72608,0.79147,0.6776,0.63118,0.93216,0.01696,0.00017343,0.00017343,0.00017343
61,718.196,0.47862,0.46131,0.0086,0.84496,0.71486,0.79051,0.67596,0.6436,0.97748,0.01704,0.000169302,0.000169302,0.000169302
62,729.915,0.48217,0.47797,0.00849,0.83094,0.73952,0.79676,0.67743,0.64668,0.92866,0.01732,0.000165174,0.000165174,0.000165174
63,741.494,0.48842,0.46746,0.0088,0.80279,0.74843,0.80754,0.68791,0.6402,0.92292,0.01719,0.000161045,0.000161045,0.000161045
64,753.077,0.49747,0.47921,0.00907,0.8294,0.72058,0.79435,0.67481,0.65021,0.92724,0.01755,0.000156917,0.000156917,0.000156917
65,764.55,0.48486,0.4577,0.00874,0.79113,0.73433,0.79259,0.66174,0.66673,0.96741,0.01809,0.000152789,0.000152789,0.000152789
66,776.012,0.49933,0.45414,0.00889,0.85357,0.7195,0.79625,0.67373,0.64861,0.96485,0.01754,0.00014866,0.00014866,0.00014866
67,787.654,0.47314,0.44551,0.00835,0.80309,0.75416,0.79413,0.66527,0.67107,0.9686,0.01821,0.000144532,0.000144532,0.000144532
68,799.258,0.48361,0.4432,0.00865,0.82726,0.74676,0.79476,0.67436,0.65006,0.9418,0.01741,0.000140404,0.000140404,0.000140404
69,810.882,0.47206,0.4423,0.00825,0.79637,0.75524,0.79881,0.68187,0.63797,0.94534,0.0169,0.000136276,0.000136276,0.000136276
70,822.733,0.45878,0.44454,0.00826,0.84554,0.73445,0.79857,0.67251,0.65342,0.91082,0.01742,0.000132147,0.000132147,0.000132147
71,834.36,0.47774,0.44012,0.00853,0.79703,0.7522,0.79528,0.67854,0.63916,0.93463,0.01698,0.000128019,0.000128019,0.000128019
72,844.98,0.47823,0.44903,0.00876,0.7966,0.75915,0.79969,0.67605,0.64148,0.9505,0.01694,0.000123891,0.000123891,0.000123891
73,855.594,0.47267,0.42491,0.0086,0.82042,0.74812,0.80348,0.68697,0.63909,0.92844,0.01706,0.000119762,0.000119762,0.000119762
74,866.273,0.47552,0.44925,0.00872,0.80587,0.75798,0.80455,0.6865,0.63961,0.90411,0.01692,0.000115634,0.000115634,0.000115634
75,876.879,0.46512,0.42435,0.00822,0.79682,0.75794,0.80239,0.68257,0.64839,0.92593,0.01725,0.000111506,0.000111506,0.000111506
76,887.503,0.46286,0.41693,0.00818,0.86183,0.71787,0.79586,0.67769,0.63247,0.96572,0.01672,0.000107378,0.000107378,0.000107378
77,898.121,0.46595,0.42078,0.00828,0.82663,0.73916,0.79638,0.67865,0.62767,0.96208,0.01654,0.000103249,0.000103249,0.000103249
78,908.774,0.447,0.41977,0.00802,0.81673,0.73981,0.78679,0.67106,0.62872,0.97456,0.01654,9.91209e-05,9.91209e-05,9.91209e-05
79,919.376,0.45625,0.39901,0.0083,0.80309,0.75199,0.788,0.67595,0.628,0.9651,0.01655,9.49926e-05,9.49926e-05,9.49926e-05
80,929.978,0.46025,0.41429,0.00803,0.8415,0.73472,0.80004,0.67986,0.63078,0.93304,0.01663,9.08643e-05,9.08643e-05,9.08643e-05
81,940.606,0.46247,0.41402,0.00813,0.83622,0.73706,0.79658,0.67605,0.63369,0.93485,0.01678,8.6736e-05,8.6736e-05,8.6736e-05
82,951.227,0.45812,0.41994,0.00803,0.79851,0.75834,0.79679,0.67356,0.64686,0.92405,0.01716,8.26077e-05,8.26077e-05,8.26077e-05
83,961.797,0.46109,0.43398,0.00825,0.8564,0.70989,0.80231,0.67841,0.64341,0.93733,0.0171,7.84794e-05,7.84794e-05,7.84794e-05
84,972.392,0.45747,0.42032,0.0079,0.81479,0.74616,0.79989,0.67531,0.6429,0.93996,0.01699,7.43511e-05,7.43511e-05,7.43511e-05
85,983.096,0.46304,0.41745,0.00821,0.84316,0.73746,0.79846,0.67689,0.63612,0.93242,0.01677,7.02228e-05,7.02228e-05,7.02228e-05
86,993.729,0.45274,0.423,0.0081,0.79728,0.76138,0.79399,0.67408,0.63899,0.93745,0.0169,6.60945e-05,6.60945e-05,6.60945e-05
87,1004.31,0.44409,0.41369,0.00827,0.83371,0.73477,0.80542,0.68389,0.62902,0.93962,0.01657,6.19662e-05,6.19662e-05,6.19662e-05
88,1014.91,0.44387,0.40104,0.00807,0.82404,0.74897,0.80525,0.68472,0.62664,0.93919,0.01649,5.78379e-05,5.78379e-05,5.78379e-05
89,1025.55,0.44622,0.41989,0.00797,0.81242,0.74754,0.8004,0.6831,0.62704,0.93453,0.01646,5.37096e-05,5.37096e-05,5.37096e-05
90,1036.18,0.44676,0.39955,0.00801,0.80704,0.75228,0.80142,0.67937,0.63179,0.91874,0.01663,4.95813e-05,4.95813e-05,4.95813e-05
91,1070.44,0.34119,0.2495,0.00804,0.83653,0.67861,0.76595,0.64076,0.66156,1.06582,0.01775,4.5453e-05,4.5453e-05,4.5453e-05
92,1081.09,0.32077,0.20478,0.00725,0.78309,0.73107,0.77262,0.64679,0.66232,1.02726,0.01799,4.13247e-05,4.13247e-05,4.13247e-05
93,1091.61,0.30969,0.19409,0.00717,0.7931,0.71855,0.7775,0.6535,0.65562,1.0083,0.01765,3.71964e-05,3.71964e-05,3.71964e-05
94,1102.14,0.31529,0.19116,0.0073,0.81135,0.71828,0.77882,0.65811,0.65479,1.00269,0.01759,3.30681e-05,3.30681e-05,3.30681e-05
95,1112.68,0.29368,0.17556,0.00665,0.79262,0.7429,0.78327,0.66045,0.64943,0.97902,0.01745,2.89398e-05,2.89398e-05,2.89398e-05
96,1123.16,0.30299,0.17568,0.00688,0.85454,0.68646,0.78761,0.66432,0.64496,0.98416,0.01733,2.48115e-05,2.48115e-05,2.48115e-05
97,1133.65,0.3003,0.17512,0.00675,0.77374,0.74947,0.78205,0.65956,0.64791,0.97976,0.01739,2.06832e-05,2.06832e-05,2.06832e-05
98,1144.35,0.29159,0.17262,0.00645,0.76558,0.76869,0.7874,0.66571,0.64629,0.97266,0.01727,1.65549e-05,1.65549e-05,1.65549e-05
99,1154.84,0.29413,0.17206,0.00665,0.76135,0.7685,0.79147,0.67141,0.63959,0.9645,0.01706,1.24266e-05,1.24266e-05,1.24266e-05
100,1165.32,0.28793,0.18189,0.0064,0.79993,0.72105,0.7886,0.66802,0.63932,0.96866,0.01703,8.2983e-06,8.2983e-06,8.2983e-06
